"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"E2E - тесты (полные)","keeper - полная оплата по кнопке 'Оплатить' - обычные позиции - чай+сбор - карта - отзыв","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая и без сбора","","0","6","1","0","0"
"E2E - тесты (полные)","Общая функциональность таппера","","0","17","1","1","0"
"Debug","","","0","0","1","3","0"
"E2E - тесты (полные)","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","0","7","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - без чая + сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор","","0","7","1","0","0"
"E2E - тесты (полные)","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","0","6","1","0","0"
"E2E - тесты (полные)","keeper - частичная оплата - обычные позиции - чай+сбор - карта","","0","6","1","0","0"
