"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Nov 18 11:06:38 GMT 2022","Fri Nov 18 11:06:38 GMT 2022","245","","keeper - полная оплата по кнопке 'Оплатить' - обычные позиции - чай+сбор - карта - отзыв","","tapper.tests.e2e._1_1_FullPayTest","openAndCheck","2. Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"passed","Fri Nov 18 11:06:38 GMT 2022","Fri Nov 18 11:07:38 GMT 2022","59622","","keeper - оплата, разделяя счёт по позиции до самого конца - обычные - чай+сбор","","tapper.tests.e2e._1_2_DivideAndPayTillEndTest","createAndFillOrder","1. Создание заказа в r_keeper",""
"broken","Fri Nov 18 11:11:40 GMT 2022","Fri Nov 18 11:11:40 GMT 2022","1","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 18 11:05:48 GMT 2022","Fri Nov 18 11:05:48 GMT 2022","9","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","checkPayment","2.7. Проверяем оплату",""
"broken","Fri Nov 18 11:05:48 GMT 2022","Fri Nov 18 11:05:48 GMT 2022","8","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","isTipsContainerCorrect","1.8. Проверяем что все элементы в блоке чаевых отображаются корректно",""
"skipped","Fri Nov 18 11:13:42 GMT 2022","Fri Nov 18 11:13:42 GMT 2022","0","","E2E","","tapper.tests.DebugTests","addModificator","add modificator",""
"broken","Fri Nov 18 11:08:40 GMT 2022","Fri Nov 18 11:08:40 GMT 2022","11","","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","tapper.tests.e2e._1_3_DivideCheckAndFullPayTest","payAndGoToAcquiringAgain","8. Переход на эквайринг, ввод данных, оплата",""
"broken","Fri Nov 18 11:10:38 GMT 2022","Fri Nov 18 11:10:40 GMT 2022","2006","","keeper - частичная оплата - обычные позиции - без чая + сбор","","tapper.tests.e2e._2_2_PartPayNoTipScTest","checkSumTipsSC","3. Выбираем рандомно блюда, проверяем все суммы и условия, оплачиваем",""
"broken","Fri Nov 18 11:05:48 GMT 2022","Fri Nov 18 11:05:48 GMT 2022","8","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","payOrder","2.6. Оплачиваем заказ",""
"broken","Fri Nov 18 11:13:42 GMT 2022","Fri Nov 18 11:13:42 GMT 2022","3","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор","","tapper.tests.e2e._2_6_DivideCheckAndPartPayTest","savePaymentDataForAcquiring","5. Сохраняем данные по оплате для проверки их корректности на эквайринге, и транзакции б2п",""
"broken","Fri Nov 18 11:13:42 GMT 2022","Fri Nov 18 11:13:42 GMT 2022","27","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор","","tapper.tests.e2e._2_6_DivideCheckAndPartPayTest","checkPayment","7. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 18 11:12:38 GMT 2022","Fri Nov 18 11:12:40 GMT 2022","2003","","keeper - частичная и полная оплата, разделяя счёт по позиции в 2 заказа - обычные позиции - чай+сбор","","tapper.tests.e2e._2_4_PartAndFullPayTipScTest","chooseDishesAndCheckAfterDivided","3. Выбираем рандомно блюда, проверяем все суммы и условия, проверяем что после шаринга выбранные позиции в ожидаются",""
"broken","Fri Nov 18 11:11:40 GMT 2022","Fri Nov 18 11:11:40 GMT 2022","1","","keeper - частичная оплата - обычные позиции - без чая и бес сбора","","tapper.tests.e2e._2_3_PartPayNoTipNoScTest","closeOrder","7. Закрываем заказ, очищаем кассу",""
"broken","Fri Nov 18 11:09:38 GMT 2022","Fri Nov 18 11:09:38 GMT 2022","174","","keeper - частичная оплата - обычные позиции - чай+сбор - карта","","tapper.tests.e2e._2_1_PartPayTipSсTest","openAndCheck","2. Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
"broken","Fri Nov 18 11:08:40 GMT 2022","Fri Nov 18 11:08:40 GMT 2022","3","","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","tapper.tests.e2e._1_3_DivideCheckAndFullPayTest","payAndGoToAcquiring","5. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"broken","Fri Nov 18 11:08:40 GMT 2022","Fri Nov 18 11:08:40 GMT 2022","17","","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","tapper.tests.e2e._1_3_DivideCheckAndFullPayTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 18 11:10:40 GMT 2022","Fri Nov 18 11:10:40 GMT 2022","6","","keeper - частичная оплата - обычные позиции - без чая + сбор","","tapper.tests.e2e._2_2_PartPayNoTipScTest","checkPayment","6. Проверяем корректность оплаты, проверяем что транзакция в б2п соответствует оплате",""
"broken","Fri Nov 18 11:13:38 GMT 2022","Fri Nov 18 11:13:38 GMT 2022","208","","keeper - частичная оплата когда разделили счёт - рандомные поз без скидки - чай+сбор","","tapper.tests.e2e._2_6_DivideCheckAndPartPayTest","openAndCheck","2. Проверяем работу всех активных элементов на странице",""
"broken","Fri Nov 18 11:08:40 GMT 2022","Fri Nov 18 11:08:40 GMT 2022","2","","keeper - частичная оплата, делимся ссылкой, оплачиваем всё - обычные позиции - чай+сбор","","tapper.tests.e2e._1_3_DivideCheckAndFullPayTest","clearDataAndChoseAgain","7. Делимся ссылкой и оплачиваем остальную часть заказа",""
"broken","Fri Nov 18 11:05:38 GMT 2022","Fri Nov 18 11:05:47 GMT 2022","9162","","Общая функциональность таппера","","tapper.tests.e2e._0_0_AllElementsTest","openTable","1.2. Открытие стола",""
"broken","Fri Nov 18 11:10:38 GMT 2022","Fri Nov 18 11:10:38 GMT 2022","162","","keeper - частичная оплата - обычные позиции - без чая + сбор","","tapper.tests.e2e._2_2_PartPayNoTipScTest","openAndCheck","2. Проверяем работу всех активных элементов на странице, проверка блюд на кассе и в таппере",""
