"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 15:51:32 YEKT 2022","Fri Sep 30 15:51:33 YEKT 2022","1209","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #4.  Алпанит","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:51:51 YEKT 2022","Fri Sep 30 15:51:52 YEKT 2022","1076","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #15.  Иолит","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:51:40 YEKT 2022","Fri Sep 30 15:51:41 YEKT 2022","1226","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #9.  Бирюза","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:52:12 YEKT 2022","Fri Sep 30 15:52:12 YEKT 2022","844","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #30.  Оникс","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:52:10 YEKT 2022","Fri Sep 30 15:52:12 YEKT 2022","1263","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #29.  Пластик","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:52:12 YEKT 2022","Fri Sep 30 15:52:15 YEKT 2022","2926","","searching.tests.SearchingByCollectionsTests","","searching.tests.SearchingByCollectionsTests","checkCollectionsSearchCorrect","Поиск по запросу коллекции #48.  Вне коллекций","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:50:19 YEKT 2022","Fri Sep 30 15:50:40 YEKT 2022","20663","","searching.tests.SearchingInHeaderTests","","searching.tests.SearchingInHeaderTests","checkInitialFastSearch","Проверка формы быстрого поиска","При вводе запроса должна появится форма с результатами по запросу"
"passed","Fri Sep 30 15:52:37 YEKT 2022","Fri Sep 30 15:52:38 YEKT 2022","1555","","searching.tests.SearchingByStonesTests","","searching.tests.SearchingByStonesTests","checkOnlyStonesSearchCorrect","Поиск по запросу  камня #45.  Халцедон","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:51:37 YEKT 2022","Fri Sep 30 15:51:38 YEKT 2022","1803","","searching.tests.SearchingByCollectionsTests","","searching.tests.SearchingByCollectionsTests","checkCollectionsSearchCorrect","Поиск по запросу коллекции #33.  Waterfalls","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
"passed","Fri Sep 30 15:51:34 YEKT 2022","Fri Sep 30 15:51:35 YEKT 2022","1582","","searching.tests.SearchingByCollectionsTests","","searching.tests.SearchingByCollectionsTests","checkCollectionsSearchCorrect","Поиск по запросу коллекции #31.  Trendy Oro","Количество совпадений должны быть 8 (на всю ширину контейнера)
"
