"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"RKeeper","Добавление и удаление позиций из заказа","Добавление и удаление позиции после в одном заказе","6","1","3","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции, частичная оплата","9","0","1","0","0"
"RKeeper","Сокеты","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","4","4","2","0","0"
"RKeeper","Общие","keeper - комплекс оплат для проверки на странице истории операций в админке","9","1","0","0","0"
"Личный кабинет администратора ресторана","Столики и QR-коды","","2","0","13","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Авторизация администратора,проверка всех статусов приглашения официанта","2","0","8","0","0"
"Личный кабинет официант ресторана","Отвязка и привязка карты официанта","","6","0","3","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, частичная оплата","9","0","1","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Добавление позиции после частичной оплаты","9","0","1","0","0"
"RKeeper","Общие","Общая функциональность таппера","13","0","8","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай +сбор","7","0","0","0","0"
"Личный кабинет администратора ресторана","Профиль","","0","0","5","0","0"
"Личный кабинет администратора ресторана","Авторизация\регистрация","Приглашение на один и тот же e-mail, который уже занят у официанта","0","0","4","0","0"
"Личный кабинет администратора ресторана","Меню","Сортировка меню, отображение всех категорий и блюд в таппере","5","0","2","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  +СБ","6","0","2","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - +чай -сбор","6","0","0","0","0"
"RKeeper","Скидка","Частичная оплата + применение скидки (Частичная оплата, потом скидка, потом полная оплата)","14","2","2","0","0"
"RKeeper","Общие","tapper - переход на пустой стол, создание заказа на кассе, появление заказа в таппере","2","0","3","0","0"
"RKeeper","Сокеты","Одновременная частичная оплата с 2х устройств","6","0","6","0","0"
"RKeeper","Скидка","Удаление скидки из заказа, полная оплата","12","4","2","0","0"
"Личный кабинет администратора ресторана","Кастомизация","Проверка вайфая","1","0","5","0","0"
"RKeeper","Скидка","Полная оплата с общей скидкой на заказ","6","4","0","2","0"
"Личный кабинет официант ресторана","Проверка всех элементов, смены имени, телеграмма, пароля, загрузка изображений, сверка со столом","","4","0","6","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата -СБ","6","0","0","0","0"
"Личный кабинет администратора ресторана","История операций","","3","0","4","1","0"
"RKeeper","Частичная оплата","Частичная оплата - +чай +сбор","7","0","0","0","0"
"RKeeper","Общие","tapper - проверка сообщений вызова официанта при пустом столе и в заказе","5","0","4","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, частичная оплата  -СБ","7","0","2","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции, полная оплата","6","0","1","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, полная оплата + СБ","6","0","0","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа, ввод кастомных чаевых, ошибки суммы","9","0","6","0","0"
"RKeeper","Сокеты","Частичная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","6","0","6","0","0"
"Личный кабинет администратора ресторана","Меню","Проверка что включенное меню отображается","0","0","6","0","0"
"Личный кабинет администратора ресторана","Меню","Смена имени категории и позиции, проверка на столе","0","0","6","0","0"
"RKeeper","Полная оплата","Выбор всех позиций - +чай +сбор","6","0","0","0","0"
"RKeeper","Официант","Официант верифицирован, без привязанной карты, частичная оплата  -СБ","6","0","2","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай +сбор","6","0","0","0","0"
"RKeeper","Официант","Официант не верифицирован, без привязанной карты, полная оплата + СБ","6","0","0","0","0"
"RKeeper","Добавление и удаление позиций из заказа","Удаление позиции после частичной оплаты","9","0","1","0","0"
"RKeeper","Частичная оплата","Частичная оплата - -чай -сбор","7","0","0","0","0"
"Личный кабинет администратора ресторана","Меню","Загрузка, удаление фотографии","0","0","9","0","0"
"RKeeper","Чаевые","Проверка логики установки дефолтных чаевых от суммы заказа с двумя гостями","4","0","3","0","0"
"Личный кабинет администратора ресторана","Кастомизация","Проверка переключения типу получателя, замена шаблона, проверка на столе","0","0","5","0","0"
"RKeeper","Полная оплата","Оплата по кнопке 'Оплатить' - -чай -сбор","0","6","0","0","0"
"RKeeper","Модификаторы","Платные модификаторы - полная оплата","1","5","0","0","0"
