"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 26 13:08:38 YEKT 2023","Thu Jan 26 13:08:43 YEKT 2023","4519","","Добавление и удаление позиции после в одном заказе","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_7_AddAndRemoveFullTest","payAndGoToAcquiring","1.8. Переходим на эквайринг, вводим данные, оплачиваем заказ",""
"failed","Thu Jan 26 12:58:55 YEKT 2023","Thu Jan 26 12:59:43 YEKT 2023","47763","","Добавление позиции, частичная оплата","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_3_AddAndPartTest","createAndFillOrder","1.1. Создание заказа в r_keeper и открытие стола, проверка что позиции на кассе совпадают с позициями в таппере",""
"passed","Thu Jan 26 13:03:10 YEKT 2023","Thu Jan 26 13:03:13 YEKT 2023","3474","","Полная оплата на 1-м устройстве, позиции в статусе 'Оплачиваются', 'Оплачено' на 2-м устройстве","","tapper.tests.keeper_e2e._5_sockets._5_2_FullCheckEveryStatusTest","returnFirstGuest","2.0. Переходим на первого гостя",""
"failed","Thu Jan 26 13:04:12 YEKT 2023","Thu Jan 26 13:04:22 YEKT 2023","9476","","keeper - комплекс оплат для проверки на странице истории операций в админке","","tapper.tests.keeper_e2e._0_common._0_8_OperationsHistoryTest","checkFullPayInAdmin","2.0. Переход на эквайринг, ввод данных, полная оплата",""
"passed","Thu Jan 26 13:11:45 YEKT 2023","Thu Jan 26 13:11:47 YEKT 2023","1320","","Проверка поиска по столам, детальной карточки, qr-кода","","tapper.tests.admin_personal_account.tables_and_qr_codes._10_0_TotalTest","isDownloadQrCorrect","2.4. Проверка скачивания qr-кода",""
"passed","Thu Jan 26 13:08:46 YEKT 2023","Thu Jan 26 13:08:52 YEKT 2023","6417","","Авторизация администратора,проверка всех статусов приглашения официанта","","tapper.tests.admin_personal_account.waiters._9_0_TotalTest","authorizeUser","1.1. Авторизация под администратором в личном кабинете",""
"failed","Thu Jan 26 13:00:31 YEKT 2023","Thu Jan 26 13:00:52 YEKT 2023","20771","","Добавление позиции, частичная оплата","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_3_AddAndPartTest","clearDataAndChoseAgain","1.9 Проверка сообщения в телеграмме",""
"failed","Thu Jan 26 13:16:16 YEKT 2023","Thu Jan 26 13:16:22 YEKT 2023","6492","","Отвязка и привязка карты официанта","","tapper.tests.waiter_personal_account._14_1_UnlinkLinkWaiterCardTest","sendInviteWaiter","1.1. Отправляем приглашение",""
"failed","Thu Jan 26 13:02:54 YEKT 2023","Thu Jan 26 13:02:59 YEKT 2023","4641","","Удаление позиции, частичная оплата","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_4_RemoveAndPartTest","closeOrder","2.0. Закрываем заказ, проверяем тг",""
"failed","Thu Jan 26 13:03:47 YEKT 2023","Thu Jan 26 13:03:53 YEKT 2023","5689","","Добавление позиции после частичной оплаты","","tapper.tests.keeper_e2e._4_addAndRemoveDishPositions._0_4_5_AddAfterPartAndPartTest","checkSumTipsSC","1.2. Проверка суммы, чаевых, сервисного сбора",""
